title;id
Triceps Extension (Suspension);6182EE83
Triceps Kickback (Cable);EC3B69A3
Triceps Kickback (Dumbbell);6127A3AD
Triceps Pressdown;CDC472B1
Triceps Pushdown;93A552C6
Triceps Rope Pushdown;94B7239B
Upright Row (Barbell);7AB9A362
Upright Row (Cable);286C1D0B
Upright Row (Dumbbell);797F0782
Video;aeb3acf3-b011-4c69-ba0b-e803a063c6b7
V Up;6BE68B62
Walking;33EDD7DB
Walking Lunge;32HKJ34K
Walking Lunge (Dumbbell);A733CC5B
Wall Ball;A1F47ACC
Wall Sit;C8706C80
Warm Up;79EF4E4F
Wide Pull Up;7C50F118
Wrist Roller;0E4523F4
Yoga;8C9D2928
Zercher Squat;40C6A9FC
Zottman Curl (Dumbbell);123EE239
